replicate,scenario,family,family_label,abundance,mean_capacity,population,window_mean_wealth_gini,window_mean_welfare,final_wealth_gini,final_mean_energy
1,centralized_low,centralized,Centralized,low,0.35,4,0.028821539538520048,0.044633593338339834,0.026089748060128315,0.04781258257279733
1,centralized_low,centralized,Centralized,low,0.35,8,0.03928089006869158,0.031031344466831184,0.0384915084524291,0.04306097591891756
1,centralized_low,centralized,Centralized,low,0.35,16,0.04579508780499628,0.006287600331425582,0.04333600213603894,0.006153437819251941
1,centralized_low,centralized,Centralized,low,0.35,32,0.14743760574941395,0.0,0.14619748934205679,0.0
1,decentralized_low,decentralized,Decentralized,low,0.35,4,0.02746018086412651,0.039437112349460055,0.02451196395609445,0.050662892006107296
1,decentralized_low,decentralized,Decentralized,low,0.35,8,0.04023670408039098,0.02666455721312052,0.03945832832794105,0.04790908714723063
1,decentralized_low,decentralized,Decentralized,low,0.35,16,0.050526556921979486,0.006179190159560267,0.04819654387648087,0.007236911521409205
1,decentralized_low,decentralized,Decentralized,low,0.35,32,0.1488342274006039,0.0,0.14708787759833153,0.0
1,fragmented_low,fragmented,Fragmented,low,0.35,4,0.029896964303525682,0.04031670311922517,0.02685679310887723,0.053002891563785376
1,fragmented_low,fragmented,Fragmented,low,0.35,8,0.03989011390454889,0.02699451182288765,0.03774286419535855,0.04731140966810128
1,fragmented_low,fragmented,Fragmented,low,0.35,16,0.05515471443168741,0.00635575279464198,0.051277786038988804,0.006511077831818541
1,fragmented_low,fragmented,Fragmented,low,0.35,32,0.15576306643411628,0.0,0.15407044724235486,0.0
2,uniform_high,uniform,Uniform,high,0.75,4,0.015300596589957147,0.19536744415235632,0.016773402605642085,0.18247837755708196
2,uniform_high,uniform,Uniform,high,0.75,8,0.03647964237913942,0.1627352723897024,0.040775671231698674,0.2518637015430045
2,uniform_high,uniform,Uniform,high,0.75,16,0.04922756490174949,0.05001555226131063,0.04946458810475218,0.06252234197518791
2,uniform_high,uniform,Uniform,high,0.75,32,0.12911936500736407,3.548577004411054e-07,0.12727203728584424,0.0
2,weak_patchy_high,weak_patchy,Weak patchy,high,0.75,4,0.016703723890498106,0.18925355288860352,0.019380630837697144,0.16662925876911464
2,weak_patchy_high,weak_patchy,Weak patchy,high,0.75,8,0.0414358408755694,0.17273262233147105,0.04641990269055407,0.23692059981814698
2,weak_patchy_high,weak_patchy,Weak patchy,high,0.75,16,0.05174856362284297,0.04754194298922288,0.05273674784461324,0.05969685477435151
2,weak_patchy_high,weak_patchy,Weak patchy,high,0.75,32,0.12577225100825776,0.0,0.1241407742374161,0.0
2,patchy_high,patchy,Patchy,high,0.75,4,0.01666676653555919,0.1709170619850964,0.015564146826125391,0.1727648362179997
2,patchy_high,patchy,Patchy,high,0.75,8,0.036088763340583405,0.15218100069123583,0.037442572345765424,0.25568304359743466
2,patchy_high,patchy,Patchy,high,0.75,16,0.05120443755670775,0.05306313102568039,0.04939714460899314,0.06425460092383645
