scenario,population,replicate,social_mode,rewiring,strategy,evaluation_mode,time,low_extraction_rate,collective_order,action_entropy,mean_resource_fraction,total_resource,mean_reserve_welfare,mean_need_satisfaction,deprivation_rate,mean_metabolic_shortfall,mean_energy,wealth_gini,mean_wealth,mean_social_low_fraction,visibility_gini,max_visibility_share,zero_visibility_fraction,social_perception_error,signed_perception_bias,majority_mismatch_rate,degree_action_correlation
patchy_high,8,0,fixed,none,q_learning,fresh_reset,1,0.25,0.5,0.8112781244591328,0.5034336995872178,37.75268961511465,0.998,1.0,0.0,0.0,0.998,0.217741935483871,0.0155,0.1875,0.203125,0.21875,0.0,0.14285714285714285,-0.062499999999999986,0.0,0.3849001794597505
patchy_high,8,0,fixed,none,q_learning,fresh_reset,20,0.125,0.75,0.5435644431995964,0.551171043859245,41.274777892567,0.998,1.0,0.0,0.0,0.998,0.07510431154381103,0.35950000000000004,0.0625,0.203125,0.21875,0.0,0.11607142857142858,-0.06249999999999999,0.0,0.5039526306789696
patchy_high,8,0,fixed,none,q_learning,fresh_reset,40,0.25,0.5,0.8112781244591328,0.5819343194511933,43.58431737971354,0.998,1.0,0.0,0.0,0.998,0.11043189364193262,0.6749580330478315,0.15625,0.203125,0.21875,0.0,0.17410714285714285,-0.09374999999999999,0.0,0.5773502691896258
patchy_high,8,0,fixed,none,q_learning,fresh_reset,60,0.25,0.5,0.8112781244591328,0.6000819060848501,44.94162592976303,0.998,1.0,0.0,0.0,0.998,0.12977638474899678,0.9585544026743555,0.21875,0.203125,0.21875,0.0,0.11160714285714285,-0.031249999999999986,0.0,0.19245008972987526
patchy_high,8,0,fixed,none,q_learning,fresh_reset,80,0.125,0.75,0.5435644431995964,0.6099392029565996,45.68270303880524,0.998,1.0,0.0,0.0,0.998,0.1383828234454425,1.2383456333505292,0.15625,0.203125,0.21875,0.0,0.10267857142857142,0.03125000000000001,0.0,-0.2519763153394848
patchy_high,8,0,fixed,none,q_learning,fresh_reset,100,0.25,0.5,0.8112781244591328,0.6141684745068242,46.01927070044682,0.998,1.0,0.0,0.0,0.998,0.14403491791427103,1.5247577845390032,0.15625,0.203125,0.21875,0.0,0.17410714285714285,-0.09374999999999999,0.0,0.5773502691896258
patchy_high,8,0,fixed,none,always_low,fresh_reset,1,1.0,1.0,0.0,0.5049048222871511,37.859237431674494,0.998,1.0,0.0,0.0,0.998,0.0,0.002,1.0,0.203125,0.21875,0.0,0.0,0.0,0.0,nan
patchy_high,8,0,fixed,none,always_low,fresh_reset,20,1.0,1.0,0.0,0.5826324126945177,43.57992855084692,0.998,1.0,0.0,0.0,0.998,0.0,0.04000000000000002,1.0,0.203125,0.21875,0.0,0.0,0.0,0.0,nan
patchy_high,8,0,fixed,none,always_low,fresh_reset,40,1.0,1.0,0.0,0.6344574894408944,47.42092031919346,0.998,1.0,0.0,0.0,0.998,0.0,0.08000000000000006,1.0,0.203125,0.21875,0.0,0.0,0.0,0.0,nan
patchy_high,8,0,fixed,none,always_low,fresh_reset,60,1.0,1.0,0.0,0.6637289398108416,49.59962369476951,0.998,1.0,0.0,0.0,0.998,0.0,0.12000000000000009,1.0,0.203125,0.21875,0.0,0.0,0.0,0.0,nan
patchy_high,8,0,fixed,none,always_low,fresh_reset,80,1.0,1.0,0.0,0.6792967398064497,50.76141889132623,0.998,1.0,0.0,0.0,0.998,0.0,0.16000000000000011,1.0,0.203125,0.21875,0.0,0.0,0.0,0.0,nan
patchy_high,8,0,fixed,none,always_low,fresh_reset,100,1.0,1.0,0.0,0.687312609330129,51.36067587625041,0.998,1.0,0.0,0.0,0.998,0.0,0.20000000000000015,1.0,0.203125,0.21875,0.0,0.0,0.0,0.0,nan
patchy_high,8,0,fixed,none,always_high,fresh_reset,1,0.0,1.0,0.0,0.5029929434468479,37.71714316745042,0.998,1.0,0.0,0.0,0.998,0.0,0.02,0.0,0.203125,0.21875,0.0,0.0,0.0,0.0,nan
patchy_high,8,0,fixed,none,always_high,fresh_reset,20,0.0,1.0,0.0,0.5470629507884153,40.947665682700006,0.998,1.0,0.0,0.0,0.998,0.0,0.4000000000000001,0.0,0.203125,0.21875,0.0,0.0,0.0,0.0,nan
patchy_high,8,0,fixed,none,always_high,fresh_reset,40,0.0,1.0,0.0,0.5713447821493493,42.76544488515211,0.998,1.0,0.0,0.0,0.998,0.020994060853929408,0.7762987202584798,0.0,0.203125,0.21875,0.0,0.0,0.0,0.0,nan
patchy_high,8,0,fixed,none,always_high,fresh_reset,60,0.0,1.0,0.0,0.586155860101452,43.86607270995427,0.998,1.0,0.0,0.0,0.998,0.05730967723397762,1.104723987674629,0.0,0.203125,0.21875,0.0,0.0,0.0,0.0,nan
patchy_high,8,0,fixed,none,always_high,fresh_reset,80,0.0,1.0,0.0,0.5943955671068438,44.48204352983289,0.998,1.0,0.0,0.0,0.998,0.07972505330908453,1.4239238006281583,0.0,0.203125,0.21875,0.0,0.0,0.0,0.0,nan
patchy_high,8,0,fixed,none,always_high,fresh_reset,100,0.0,1.0,0.0,0.5988405426843582,44.81641943863292,0.998,1.0,0.0,0.0,0.998,0.09416904455855413,1.7424279788879384,0.0,0.203125,0.21875,0.0,0.0,0.0,0.0,nan
patchy_high,8,0,fixed,none,random_50,fresh_reset,1,0.625,0.25,0.954434002924965,0.5041208039403232,37.80596012570957,0.998,1.0,0.0,0.0,0.998,0.4821428571428572,0.008749999999999999,0.53125,0.203125,0.21875,0.0,0.14732142857142855,-0.09374999999999999,0.3333333333333333,0.5163977794943223
patchy_high,8,0,fixed,none,random_50,fresh_reset,20,0.75,0.5,0.8112781244591328,0.5653536659267897,42.30046150945751,0.998,1.0,0.0,0.0,0.998,0.16787305122494423,0.22450000000000003,0.6875,0.203125,0.21875,0.0,0.125,-0.0625,0.0,0.3849001794597505
patchy_high,8,0,fixed,none,random_50,fresh_reset,40,0.5,0.0,1.0,0.6036602161493096,45.13630008474313,0.998,1.0,0.0,0.0,0.998,0.08672376873661691,0.46700000000000014,0.5,0.203125,0.21875,0.0,0.1875,2.7755575615628914e-17,0.2,0.0
patchy_high,8,0,fixed,none,random_50,fresh_reset,60,0.375,0.25,0.954434002924965,0.6267413764125933,46.85831356816125,0.998,1.0,0.0,0.0,0.998,0.04447769314472261,0.6892500000000004,0.46875,0.203125,0.21875,0.0,0.1473214285714286,0.09375000000000003,0.3333333333333333,-0.5163977794943223
patchy_high,8,0,fixed,none,random_50,fresh_reset,80,0.625,0.25,0.954434002924965,0.6401200206309828,47.865222929995234,0.998,1.0,0.0,0.0,0.998,0.04899393605292213,0.9070000000000005,0.6875,0.203125,0.21875,0.0,0.11607142857142856,0.06250000000000001,0.0,-0.34426518632954817
patchy_high,8,0,fixed,none,random_50,fresh_reset,100,0.375,0.25,0.954434002924965,0.6482628323549195,48.47560762910608,0.998,1.0,0.0,0.0,0.998,0.04041311180960938,1.1135000000000006,0.3125,0.203125,0.21875,0.0,0.11607142857142858,-0.06249999999999998,0.0,0.34426518632954817
