scenario,population,replicate,social_mode,rewiring,time,low_extraction_rate,collective_order,action_entropy,mean_resource_fraction,total_resource,mean_reserve_welfare,mean_need_satisfaction,deprivation_rate,mean_metabolic_shortfall,mean_energy,wealth_gini,mean_wealth,mean_social_low_fraction,visibility_gini,max_visibility_share,zero_visibility_fraction,social_perception_error,signed_perception_bias,majority_mismatch_rate,degree_action_correlation,mean_epsilon
patchy_high,8,0,fixed,random,220,0.0,1.0,0.0,0.623111302554405,46.68378825786445,0.998,1.0,0.0,0.0,0.998,0.10863800285775271,3.1128594383295733,0.0,0.21875,0.21875,0.0,0.0,0.0,0.0,nan,0.1791618983963771
patchy_high,8,0,fixed,random,240,0.25,0.5,0.8112781244591328,0.622676133369014,46.645701696329915,0.998,1.0,0.0,0.0,0.998,0.11153442626353205,3.395066194709699,0.1875,0.21875,0.21875,0.0,0.16964285714285715,-0.062499999999999986,0.0,0.3651483716701107,0.1773787641261826
patchy_high,8,0,fixed,random,260,0.125,0.75,0.5435644431995964,0.6221179566398559,46.60746382726346,0.998,1.0,0.0,0.0,0.998,0.1142188091286922,3.6782000767300915,0.09375,0.2265625,0.21875,0.0,0.11160714285714285,-0.031249999999999993,0.0,0.22792115291927587,0.17561337675336977
patchy_high,8,0,fixed,random,280,0.25,0.5,0.8112781244591328,0.6217056759112236,46.57874930209312,0.998,1.0,0.0,0.0,0.998,0.11654597809319078,3.9610666156377987,0.21875,0.2265625,0.21875,0.0,0.11160714285714285,-0.031249999999999986,0.0,0.17407765595569785,0.1738655596494188
patchy_high,8,0,fixed,random,300,0.25,0.5,0.8112781244591328,0.6208429588056544,46.51728970368055,0.998,1.0,0.0,0.0,0.998,0.1190686460292989,4.247695152446449,0.25,0.2265625,0.21875,0.0,0.08035714285714285,1.3877787807814457e-17,0.0,0.0,0.17213513794373045
patchy_high,8,0,fixed,random,320,0.375,0.25,0.954434002924965,0.6218976446196203,46.60160907490526,0.998,1.0,0.0,0.0,0.998,0.11946784671572819,4.517227740274587,0.25,0.2265625,0.21875,0.0,0.17857142857142855,-0.12499999999999999,0.0,0.6227991553292184,0.17042193850612988
patchy_high,8,0,fixed,random,340,0.375,0.25,0.954434002924965,0.6209121598648129,46.53594940763702,0.998,1.0,0.0,0.0,0.998,0.12041087623179036,4.804168974896804,0.34375,0.2265625,0.21875,0.0,0.1294642857142857,-0.03124999999999998,0.14285714285714285,0.1556997888323046,0.168725789929545
patchy_high,8,0,fixed,random,360,0.25,0.5,0.8112781244591328,0.6216639004190914,46.57273250149853,0.998,1.0,0.0,0.0,0.998,0.12260001597265702,5.081239437153431,0.25,0.2265625,0.21875,0.0,0.08035714285714285,1.3877787807814457e-17,0.0,0.0,0.16704652251285695
patchy_high,8,0,fixed,random,380,0.25,0.5,0.8112781244591328,0.6213118661918561,46.549230109055465,0.998,1.0,0.0,0.0,0.998,0.12342204204563023,5.367462453710864,0.25,0.2265625,0.21875,0.0,0.13392857142857142,1.3877787807814457e-17,0.0,0.0,0.1653839682439214
patchy_high,8,0,fixed,random,400,0.5,0.0,1.0,0.6221787663236242,46.60659289446417,0.998,1.0,0.0,0.0,0.998,0.12493539464870573,5.6420477007987095,0.5,0.2265625,0.21875,0.0,0.09821428571428571,2.7755575615628914e-17,0.0,0.0,0.1637379607827588
patchy_high,8,0,fixed,random,420,0.5,0.0,1.0,0.6216831586005911,46.57404542885261,0.998,1.0,0.0,0.0,0.998,0.12571972674433107,5.928133790672099,0.5,0.2265625,0.21875,0.0,0.125,2.7755575615628914e-17,0.0,0.0,0.1621083354449118
patchy_high,8,0,fixed,random,440,0.125,0.75,0.5435644431995964,0.6211613548729872,46.540740664570194,0.998,1.0,0.0,0.0,0.998,0.12662212751961355,6.2136755703552335,0.15625,0.2265625,0.21875,0.0,0.10267857142857142,0.03125000000000001,0.0,-0.22792115291927587,0.16049492918496863
patchy_high,8,0,fixed,random,460,0.25,0.5,0.8112781244591328,0.6210475460716682,46.52714123327763,0.998,1.0,0.0,0.0,0.998,0.12852001825655934,6.496390726146893,0.15625,0.2578125,0.21875,0.0,0.12053571428571427,-0.09374999999999999,0.0,0.4629100498862757,0.15889758058025016
patchy_high,8,0,fixed,random,480,0.25,0.5,0.8112781244591328,0.6220643407719466,46.598867980119664,0.998,1.0,0.0,0.0,0.998,0.12930662528561188,6.76875954050395,0.3125,0.2578125,0.21875,0.0,0.09821428571428571,0.06250000000000001,0.0,-0.3086066999241838,0.15731612981465948
patchy_high,8,0,fixed,random,500,0.125,0.75,0.5435644431995964,0.6216316270582432,46.56712970478721,0.998,1.0,0.0,0.0,0.998,0.13063459417575718,7.053155412111777,0.21875,0.2578125,0.21875,0.0,0.09375,0.09375,0.0,-0.6060915267313264,0.155750418662692
