scenario,scenario_label,scenario_group,population,replicate,cooperation_rate,collective_action_entropy,collective_order,switch_rate,wealth_gini,mean_welfare,mean_wealth,total_resource,mean_resource_fraction,unique_policy_count,policy_entropy,policy_hamming_mean,policy_cooperate_scarce,policy_cooperate_moderate,policy_cooperate_abundant,network_density,network_components,largest_component_fraction,network_clustering,network_policy_similarity,policy_assortativity
central_high_patchy_low,Central high + patchy low,mixed,8,1,0.0,0.0,1.0,0.0,0.25500518200358097,63.00079487639615,73.00179487639383,33.8020940254103,0.6911450975446878,4,0.603759374819711,0.33333333333333337,0.25,0.0,0.5,0.07142857142857142,6,0.25,0.0,0.5,-0.8181818181818181
central_high_patchy_low,Central high + patchy low,mixed,16,1,0.0,0.0,1.0,0.0,0.26306699891155433,57.103571976514125,67.10457197651378,27.02026382276851,0.5565791544432859,3,0.4158520829727553,0.20833333333333334,0.0625,0.0,0.375,0.075,10,0.25,0.3958333333333333,0.7777777777777779,-0.5
central_high_patchy_low,Central high + patchy low,mixed,32,1,0.079,0.3946345239077054,0.842,0.03303125,0.4897748861840057,36.89294492006088,45.42736546278354,19.059032382018877,0.38921112048343987,5,0.686380254062286,0.3461021505376344,0.1875,0.125,0.40625,0.06653225806451613,12,0.1875,0.546875,0.6969696969696971,0.24786324786324812
split_high_low,High patchy + low fragmented split,mixed,8,1,0.012125,0.05272575099036085,0.97575,0.02425,0.292628417144552,59.789778510988654,69.79077851098577,32.13813869959299,0.6090647245849313,4,0.603759374819711,0.33333333333333337,0.25,0.0,0.5,0.07142857142857142,6,0.25,0.0,0.6666666666666667,-1.0
split_high_low,High patchy + low fragmented split,mixed,16,1,0.0,0.0,1.0,0.0,0.39365901877539483,45.886372809710075,55.46404524873237,27.57486269067823,0.4889658838715641,5,0.591465823449233,0.2861111111111111,0.125,0.0625,0.375,0.075,10,0.25,0.3958333333333333,0.6666666666666666,-0.11111111111111116
split_high_low,High patchy + low fragmented split,mixed,32,1,0.00109375,0.007021781350945012,0.9978125,0.0021875,0.5543618583617598,27.80226206565294,35.34802012894528,17.94320187842165,0.30107192400353133,5,0.6274051602574867,0.30443548387096775,0.03125,0.21875,0.40625,0.06653225806451613,12,0.1875,0.546875,0.6767676767676768,-0.18705035971223016
decentralized_high_in_low,Decentralized high islands + low background,mixed,8,1,0.041625,0.16804197377428282,0.91675,0.08325,0.05662655881603227,84.71154289913913,94.7125428991363,38.09209754844842,0.717576022150769,4,0.6352130207431889,0.36904761904761907,0.375,0.0,0.5,0.07142857142857142,6,0.25,0.0,0.6666666666666667,0.0
decentralized_high_in_low,Decentralized high islands + low background,mixed,16,1,0.0,0.0,1.0,0.0,0.17699589852246658,67.90432515770276,77.90532515770123,32.736293142808364,0.6083473603775531,3,0.4685463540765222,0.24444444444444444,0.125,0.0,0.375,0.075,10,0.25,0.3958333333333333,0.7037037037037037,-0.35000000000000003
decentralized_high_in_low,Decentralized high islands + low background,mixed,32,1,0.0,0.0,1.0,3.125e-05,0.4088277241980585,35.35524379473839,44.825625414077976,22.10430513541784,0.41362182787754537,4,0.5247613651793578,0.2567204301075269,0.0,0.15625,0.40625,0.06653225806451613,12,0.1875,0.546875,0.7070707070707072,-0.21307011572498297
uniform_high,Uniform high,single,8,2,0.01625,0.07066337761594753,0.9675,0.0325,0.010649536610184905,95.43479275000253,105.43579274999608,46.616510544056496,0.6215534739207533,4,0.603759374819711,0.38095238095238093,0.5,0.0,0.5,0.0,8,0.125,0.0,nan,nan
uniform_high,Uniform high,single,16,2,0.060625,0.28455846419625913,0.87875,0.12125,0.04930068049951736,87.82167614620025,97.82267614619605,37.08394465115835,0.4944525953487779,4,0.6454260414863776,0.3416666666666667,0.375,0.0,0.4375,0.03333333333333333,12,0.1875,0.0,0.9166666666666667,-0.14285714285714288
uniform_high,Uniform high,single,32,2,0.0,0.0,1.0,0.0,0.3015419155118296,36.39706789989764,46.39806789989806,16.83843536474267,0.22451247152990225,2,0.3323934662980881,0.17137096774193547,0.0,0.0,0.46875,0.04233870967741935,15,0.15625,0.2708333333333333,0.8571428571428571,0.06666666666666676
patchy_high,Patchy high,single,8,2,0.04375,0.18172291665606952,0.9125,0.0875,0.02547740748208102,93.33267850000243,103.3336784999964,46.59751789081236,0.624819215569781,4,0.6352130207431889,0.36904761904761907,0.625,0.0,0.5,0.0,8,0.125,0.0,nan,nan
patchy_high,Patchy high,single,16,2,0.0731875,0.33298234503707014,0.853625,0.1463125,0.049474669980773336,86.78224803205832,96.78324803205399,37.615092271483924,0.5055426009883208,4,0.6276186878973496,0.35277777777777775,0.5,0.0,0.4375,0.03333333333333333,12,0.1875,0.0,0.8333333333333335,-0.3333333333333333
patchy_high,Patchy high,single,32,2,0.0,0.0,1.0,0.0,0.29946859110421775,35.32139557840346,45.32239557840417,16.52668594758296,0.22315847889816992,2,0.3323934662980881,0.17137096774193547,0.0,0.0,0.46875,0.04233870967741935,15,0.15625,0.2708333333333333,0.8571428571428571,0.06666666666666676
centralized_low,Centralized low,single,8,2,0.0,0.0,1.0,0.0,0.16448021315063568,36.186697191951694,46.1876971919526,12.469143240246053,0.35893650988308307,2,0.3333333333333333,0.19047619047619044,0.0,0.0,0.5,0.0,8,0.125,0.0,nan,nan
centralized_low,Centralized low,single,16,2,0.0,0.0,1.0,0.0,0.1538933345061939,13.25287158428557,23.253871584285363,6.503932259722415,0.18988948357277155,2,0.32956646942949913,0.175,0.0,0.0,0.4375,0.03333333333333333,12,0.1875,0.0,0.9166666666666667,-0.14285714285714288
centralized_low,Centralized low,single,32,2,0.21875,0.7578784625383953,0.5625,0.00059375,0.4602268506623112,0.45272731439658326,4.5181575305271435,2.050138917183227,0.06522620263930555,4,0.582170789416873,0.2889784946236559,0.21875,0.0,0.46875,0.04233870967741935,15,0.15625,0.2708333333333333,0.7936507936507935,0.11324376199616121
decentralized_high,Decentralized high,single,8,2,0.0,0.0,1.0,0.0,0.0008519230275764218,96.61600000000256,106.6169999999959,46.150628625180936,0.6214505116051775,4,0.603759374819711,0.33333333333333337,0.25,0.0,0.5,0.0,8,0.125,0.0,nan,nan
decentralized_high,Decentralized high,single,16,2,0.0185,0.09839668712825736,0.963,0.037,0.04487230752249147,89.54636017846141,99.54736017845705,34.779960773877,0.4690757154469172,5,0.6582005842381937,0.35,0.25,0.0625,0.4375,0.03333333333333333,12,0.1875,0.0,0.8333333333333335,-0.3333333333333333
decentralized_high,Decentralized high,single,32,2,0.0,0.0,1.0,0.0,0.2980600469887385,34.465403364166136,44.4664033641666,16.04930308500779,0.22221694444982504,2,0.3323934662980881,0.17137096774193547,0.0,0.0,0.46875,0.04233870967741935,15,0.15625,0.2708333333333333,0.8571428571428571,0.06666666666666676
patchy_high_central_low,Patchy high + central low,mixed,8,2,0.0,0.0,1.0,0.0,0.0008387122135685663,96.61375000000254,106.6147499999959,41.33243897389354,0.6967688404555822,4,0.6352130207431889,0.36904761904761907,0.375,0.0,0.5,0.0,8,0.125,0.0,nan,nan
patchy_high_central_low,Patchy high + central low,mixed,16,2,0.0105625,0.056084911428034324,0.978875,0.021125,0.08599530794731473,86.39550041398249,96.39650041397707,36.30691789141695,0.5943087699949262,4,0.5880325518579721,0.30833333333333335,0.25,0.0,0.4375,0.03333333333333333,12,0.1875,0.0,0.8333333333333334,-0.3333333333333333
patchy_high_central_low,Patchy high + central low,mixed,32,2,0.0069375,0.044538155997422654,0.986125,0.013875,0.2935669393268438,43.498775837701224,53.46447692136655,19.80566469124975,0.30568881072025705,3,0.42493002220567133,0.21169354838709678,0.0625,0.0,0.46875,0.04233870967741935,15,0.15625,0.2708333333333333,0.8412698412698412,0.19230769230769237
central_high_patchy_low,Central high + patchy low,mixed,8,2,0.0,0.0,1.0,0.0,0.12457246520639667,73.49743063708569,83.49843063708539,32.79617945768357,0.6495309415581082,3,0.4685463540765222,0.2738095238095238,0.125,0.0,0.5,0.0,8,0.125,0.0,nan,nan
central_high_patchy_low,Central high + patchy low,mixed,16,2,0.0,0.0,1.0,0.0,0.18352521337519143,70.81903804830739,80.82003804830501,27.3576397024614,0.5141481687741305,4,0.5591404279431216,0.2833333333333333,0.1875,0.0,0.4375,0.03333333333333333,12,0.1875,0.0,0.8333333333333335,0.0
central_high_patchy_low,Central high + patchy low,mixed,32,2,0.03221875,0.20485902432414788,0.9355625,0.00203125,0.4193884886446208,40.1767378140163,49.211207431992456,15.77487556256304,0.2626519335656347,3,0.4158520829727553,0.20967741935483872,0.0625,0.0,0.4375,0.04233870967741935,15,0.15625,0.2708333333333333,0.8412698412698412,0.13698630136986303
split_high_low,High patchy + low fragmented split,mixed,8,2,0.0,0.0,1.0,0.0,0.25166957870631573,63.23523493881908,73.23623493881702,30.120250961216545,0.5444839451008572,3,0.4685463540765222,0.2738095238095238,0.125,0.0,0.5,0.0,8,0.125,0.0,nan,nan
