scenario,population,replicate,agent,x,y,region,policy_scarce,policy_moderate,policy_abundant,cooperation_preference,wealth,energy
patchy_high,16,3,agent_12,6,7,patchy_high,C,D,C,0.6666666666666666,110.60399999999456,99.60400000000267
patchy_high,16,3,agent_13,8,2,patchy_high,D,D,D,0.0,97.58999999999845,86.59000000000218
patchy_high,16,3,agent_14,8,5,patchy_high,D,D,C,0.3333333333333333,67.07000645988037,56.07000645987513
patchy_high,16,3,agent_15,8,4,patchy_high,D,D,C,0.3333333333333333,79.13320825075412,68.13320825075013
patchy_high,32,3,agent_0,8,6,patchy_high,D,D,C,0.3333333333333333,33.65771670755813,22.65771670755905
patchy_high,32,3,agent_1,5,0,patchy_high,D,D,C,0.3333333333333333,63.746553768297716,52.74655376829334
patchy_high,32,3,agent_2,0,2,patchy_high,D,D,D,0.0,31.307206532678034,20.30720653267807
patchy_high,32,3,agent_3,9,9,patchy_high,D,C,C,0.6666666666666666,13.185656014860259,2.185656014861497
patchy_high,32,3,agent_4,3,2,patchy_high,D,D,D,0.0,77.96075551918612,66.96075551918184
patchy_high,32,3,agent_5,9,3,patchy_high,D,D,C,0.3333333333333333,19.470454092059686,8.470454092060477
patchy_high,32,3,agent_6,1,4,patchy_high,D,D,C,0.3333333333333333,103.14393424641491,92.14393424641958
patchy_high,32,3,agent_7,5,3,patchy_high,D,D,C,0.3333333333333333,16.496529706821274,5.496529706822356
patchy_high,32,3,agent_8,9,3,patchy_high,D,D,C,0.3333333333333333,19.576846796213264,8.576846796213912
patchy_high,32,3,agent_9,7,9,patchy_high,D,D,C,0.3333333333333333,56.68637943328987,45.68637943328713
patchy_high,32,3,agent_10,2,6,patchy_high,D,D,D,0.0,52.32149531702108,41.32149531701955
patchy_high,32,3,agent_11,1,0,patchy_high,D,D,D,0.0,45.003104244884995,34.00310424488746
patchy_high,32,3,agent_12,6,7,patchy_high,D,D,C,0.3333333333333333,63.292709396278916,52.2927093962746
patchy_high,32,3,agent_13,8,2,patchy_high,D,D,D,0.0,76.67931588836635,65.67931588836093
patchy_high,32,3,agent_14,8,5,patchy_high,D,D,C,0.3333333333333333,33.36005879263034,22.360058792631182
patchy_high,32,3,agent_15,8,4,patchy_high,D,D,C,0.3333333333333333,33.804697010011424,22.80469701001248
patchy_high,32,3,agent_16,1,2,patchy_high,D,D,D,0.0,38.27545315847345,27.275453158475745
patchy_high,32,3,agent_17,4,7,patchy_high,D,D,C,0.3333333333333333,52.59175786200632,41.59175786200471
patchy_high,32,3,agent_18,6,2,patchy_high,D,D,C,0.3333333333333333,46.97998795875834,35.97998795875911
patchy_high,32,3,agent_19,5,6,patchy_high,D,D,D,0.0,58.63557833145421,47.6355783314504
patchy_high,32,3,agent_20,1,1,patchy_high,D,D,C,0.3333333333333333,34.83418537005223,23.83418537005388
patchy_high,32,3,agent_21,5,2,patchy_high,D,D,D,0.0,18.4521205268389,7.452120526840227
patchy_high,32,3,agent_22,5,2,patchy_high,D,C,C,0.6666666666666666,18.02260419685522,7.022604196856542
patchy_high,32,3,agent_23,2,5,patchy_high,D,D,D,0.0,67.90225512176664,56.90225512176133
patchy_high,32,3,agent_24,8,7,patchy_high,D,D,D,0.0,45.82116604003625,34.82116604003774
patchy_high,32,3,agent_25,3,7,patchy_high,D,D,C,0.3333333333333333,53.786643095585454,42.78664309558356
patchy_high,32,3,agent_26,4,3,patchy_high,D,D,C,0.3333333333333333,45.6089700374747,34.60897003747616
patchy_high,32,3,agent_27,3,8,patchy_high,D,C,C,0.6666666666666666,112.04399999999502,101.04400000000273
patchy_high,32,3,agent_28,2,6,patchy_high,D,D,C,0.3333333333333333,52.67725778760405,41.67725778760235
patchy_high,32,3,agent_29,7,0,patchy_high,D,D,D,0.0,65.29313152447136,54.29313152446655
patchy_high,32,3,agent_30,5,4,patchy_high,D,D,D,0.0,53.53563090703281,42.5356309070308
patchy_high,32,3,agent_31,9,9,patchy_high,D,D,D,0.0,13.314886190017008,2.3148861900182554
centralized_low,8,3,agent_0,8,6,centralized_low,D,D,C,0.3333333333333333,62.21868013042701,51.21868013042308
centralized_low,8,3,agent_1,5,0,centralized_low,D,D,C,0.3333333333333333,38.47845276527254,27.47845276527451
centralized_low,8,3,agent_2,0,2,centralized_low,D,D,D,0.0,31.16712216306054,20.16712216306077
centralized_low,8,3,agent_3,9,9,centralized_low,D,D,C,0.3333333333333333,27.367687743714264,16.367687743712924
centralized_low,8,3,agent_4,3,2,centralized_low,D,D,D,0.0,50.04074115581935,39.040741155818836
centralized_low,8,3,agent_5,9,3,centralized_low,D,D,C,0.3333333333333333,44.634926509870304,33.63492650987209
centralized_low,8,3,agent_6,1,4,centralized_low,D,D,C,0.3333333333333333,56.73406768326471,45.73406768326209
centralized_low,8,3,agent_7,5,3,centralized_low,D,D,C,0.3333333333333333,65.5588997179629,54.558899717958155
centralized_low,16,3,agent_0,8,6,centralized_low,D,D,C,0.3333333333333333,15.444493509490952,4.444493509492193
centralized_low,16,3,agent_1,5,0,centralized_low,D,D,C,0.3333333333333333,26.197165345828232,15.197165345826551
centralized_low,16,3,agent_2,0,2,centralized_low,D,D,D,0.0,13.428567671513656,2.4285676715144198
centralized_low,16,3,agent_3,9,9,centralized_low,C,D,C,0.6666666666666666,6.524195212425305,0.0
centralized_low,16,3,agent_4,3,2,centralized_low,D,D,D,0.0,31.36822790541602,20.368227905416358
centralized_low,16,3,agent_5,9,3,centralized_low,D,D,C,0.3333333333333333,4.570581446165058,0.0
centralized_low,16,3,agent_6,1,4,centralized_low,D,D,C,0.3333333333333333,36.00720908370563,25.007209083707256
centralized_low,16,3,agent_7,5,3,centralized_low,D,D,C,0.3333333333333333,43.19421855995694,32.19421855995963
centralized_low,16,3,agent_8,9,3,centralized_low,D,D,C,0.3333333333333333,4.593748755124577,0.0
centralized_low,16,3,agent_9,7,9,centralized_low,D,D,C,0.3333333333333333,19.929347219807617,8.929347219808143
centralized_low,16,3,agent_10,2,6,centralized_low,D,D,D,0.0,60.422332541042586,49.42233254103895
centralized_low,16,3,agent_11,1,0,centralized_low,D,D,D,0.0,12.678961752993432,1.6789617529934486
centralized_low,16,3,agent_12,6,7,centralized_low,D,D,C,0.3333333333333333,44.983956352440615,33.98395635244209
centralized_low,16,3,agent_13,8,2,centralized_low,D,D,D,0.0,29.917290697656416,18.917290697656185
centralized_low,16,3,agent_14,8,5,centralized_low,C,D,C,0.6666666666666666,11.277052259952823,0.2770522599528343
centralized_low,16,3,agent_15,8,4,centralized_low,D,D,C,0.3333333333333333,13.287869198595244,2.2878691985960042
centralized_low,32,3,agent_0,8,6,centralized_low,C,D,C,0.6666666666666666,0.9794488262953951,0.0
centralized_low,32,3,agent_1,5,0,centralized_low,D,D,C,0.3333333333333333,1.6605099698215593,0.0
centralized_low,32,3,agent_2,0,2,centralized_low,D,C,D,0.3333333333333333,3.0102950329485823,0.0
centralized_low,32,3,agent_3,9,9,centralized_low,D,C,C,0.6666666666666666,0.3462201837337039,0.0
centralized_low,32,3,agent_4,3,2,centralized_low,D,D,D,0.0,2.101740404511785,0.0
centralized_low,32,3,agent_5,9,3,centralized_low,D,D,C,0.3333333333333333,1.1170070516456303,0.0
centralized_low,32,3,agent_6,1,4,centralized_low,D,D,C,0.3333333333333333,13.110393531840336,2.1103935318416127
