scenario,population,replicate,phase,time,cooperation_rate,collective_action_entropy,collective_order,switch_rate,wealth_gini,mean_welfare,mean_wealth,total_resource,mean_resource_fraction
decentralized_high,8,7,training,4100,0.0,0.0,1.0,0.125,0.004463203684095252,71.1910000000016,78.39100000000157,45.97433073948506,0.6252324736085648
decentralized_high,8,7,training,4150,0.0,0.0,1.0,0.0,0.00441582293235121,72.05950000000162,79.35950000000136,46.08833915867142,0.6266345476526015
decentralized_high,8,7,training,4200,0.0,0.0,1.0,0.0,0.004375851832489008,72.94150000000167,80.34150000000116,46.0544927451262,0.6261918624160162
decentralized_high,8,7,training,4250,0.0,0.0,1.0,0.0,0.004343522526066179,73.8280000000017,81.32800000000097,46.00201469576556,0.6255168330290343
decentralized_high,8,7,training,4300,0.0,0.0,1.0,0.0,0.004336004057718501,74.71225000000172,82.31225000000077,45.98809216204971,0.625392542536708
decentralized_high,8,7,training,4350,0.125,0.5435644431995964,0.75,0.125,0.004297926551484199,75.60325000000176,83.30325000000056,45.95154056550369,0.6249593179789024
decentralized_high,8,7,training,4400,0.0,0.0,1.0,0.0,0.004294568148043965,76.4852500000018,84.28525000000037,45.99008201658103,0.6254431367120571
decentralized_high,8,7,training,4450,0.0,0.0,1.0,0.125,0.004254667307736604,77.37400000000183,85.27400000000017,45.970981406267214,0.6252247643054129
decentralized_high,8,7,training,4500,0.0,0.0,1.0,0.0,0.004248063430791094,78.26725000000187,86.26724999999996,45.9341659215533,0.6247113462685313
decentralized_high,8,7,training,4550,0.0,0.0,1.0,0.0,0.004277615566895321,79.1492500000019,87.24924999999976,45.989015262516695,0.6254336725522062
decentralized_high,8,7,training,4600,0.0,0.0,1.0,0.0,0.004213745778462119,80.03800000000193,88.23799999999957,45.95989216387836,0.6250219316217426
decentralized_high,8,7,training,4650,0.0,0.0,1.0,0.0,0.004176929478718616,80.91775000000196,89.21774999999937,45.98955768002617,0.62540757058692
decentralized_high,8,7,training,4700,0.0,0.0,1.0,0.0,0.004146942418127519,81.802000000002,90.20199999999917,45.990047951171206,0.6254500241800078
decentralized_high,8,7,training,4750,0.0,0.0,1.0,0.125,0.004160783561117043,82.68625000000203,91.18624999999898,45.98682677046976,0.6254226398282622
decentralized_high,8,7,training,4800,0.0,0.0,1.0,0.0,0.0041284571633151135,83.57275000000206,92.17274999999877,45.97807727548398,0.625232934446555
decentralized_high,8,7,training,4850,0.0,0.0,1.0,0.0,0.004072663208430027,84.4592500000021,93.15924999999858,45.97574015787841,0.6252510494956052
decentralized_high,8,7,training,4900,0.0,0.0,1.0,0.0,0.004038853719674718,85.34800000000213,94.14799999999836,45.95874824564479,0.6250315321895468
decentralized_high,8,7,training,4950,0.0,0.0,1.0,0.0,0.004064872407349762,86.23675000000216,95.13674999999817,45.95192479196427,0.6249429830289527
decentralized_high,8,7,training,5000,0.0,0.0,1.0,0.0,0.004043542036191727,87.1255000000022,96.12549999999797,45.95692561229405,0.6249923615300663
decentralized_high,8,7,evaluation,5001,0.0,0.0,1.0,0.0,0.004042700906438101,87.1435000000022,96.14549999999797,45.955150180446154,0.6249694329799041
decentralized_high,8,7,evaluation,5050,0.0,0.0,1.0,0.0,0.004039835253233148,88.01875000000223,97.11874999999777,45.927210087516706,0.6246149166757777
decentralized_high,8,7,evaluation,5100,0.0,0.0,1.0,0.0,0.004044896149464572,88.90975000000226,98.10974999999758,45.9300202678003,0.624664715665102
decentralized_high,8,7,evaluation,5150,0.125,0.5435644431995964,0.75,0.125,0.004041250012612352,89.8030000000023,99.10299999999738,45.91964843593364,0.6245196157748294
decentralized_high,8,7,evaluation,5200,0.0,0.0,1.0,0.0,0.0040320566454783435,90.69625000000234,100.09624999999718,45.91149679422388,0.6244232774025635
decentralized_high,8,7,evaluation,5250,0.0,0.0,1.0,0.0,0.004042609231134087,91.58725000000237,101.08724999999698,45.922628291804244,0.624577516655101
decentralized_high,8,7,evaluation,5300,0.0,0.0,1.0,0.0,0.004050112411282836,92.48050000000241,102.08049999999677,45.91528542675104,0.6244660712737387
decentralized_high,8,7,evaluation,5350,0.0,0.0,1.0,0.0,0.004065745623183403,93.37150000000243,103.07149999999658,45.926485229646325,0.6246185570468126
decentralized_high,8,7,evaluation,5400,0.0,0.0,1.0,0.0,0.0040538787511885666,94.26700000000247,104.06699999999638,45.90078842073114,0.6242785970225435
decentralized_high,8,7,evaluation,5450,0.0,0.0,1.0,0.0,0.004069180833443875,95.1580000000025,105.05799999999618,45.91161924758508,0.624423047297308
decentralized_high,8,7,evaluation,5500,0.0,0.0,1.0,0.0,0.004084196927834682,96.04900000000254,106.04899999999598,45.922908415369356,0.6245783763716662
decentralized_high,8,7,evaluation,5550,0.0,0.0,1.0,0.0,0.004090966417465536,96.94225000000257,107.04224999999578,45.915481318027155,0.6244674334599087
decentralized_high,8,7,evaluation,5600,0.0,0.0,1.0,0.125,0.0041055068694126895,97.83325000000261,108.03324999999558,45.92647892265367,0.6246167508120472
decentralized_high,8,7,evaluation,5650,0.125,0.5435644431995964,0.75,0.125,0.004101640426868336,98.72650000000264,109.02649999999538,45.91902899639691,0.6245362520616026
decentralized_high,8,7,evaluation,5700,0.0,0.0,1.0,0.0,0.004108069233023537,99.61975000000267,110.01974999999518,45.91173416024136,0.6244229502781051
decentralized_high,8,7,evaluation,5750,0.0,0.0,1.0,0.0,0.0041220670070238885,100.5107500000027,111.01074999999499,45.92308032247171,0.6245781374919396
decentralized_high,8,7,evaluation,5800,0.0,0.0,1.0,0.0,0.004128200778543256,101.40400000000274,112.00399999999479,45.915639814802546,0.6244685068669246
decentralized_high,8,7,evaluation,5850,0.0,0.0,1.0,0.0,0.004124270723402157,102.29725000000278,112.99724999999458,45.90837600194526,0.6243847720921994
decentralized_high,8,7,evaluation,5900,0.0,0.0,1.0,0.0,0.0041377620061713305,103.18825000000281,113.98824999999438,45.91928065806824,0.6245364963685988
decentralized_high,8,7,evaluation,5950,0.0,0.0,1.0,0.0,0.004143601361958016,104.08150000000285,114.98149999999418,45.911875346326276,0.6244233362894986
decentralized_high,8,7,evaluation,6000,0.0,0.0,1.0,0.0,0.004166397206234018,104.97250000000287,115.97249999999399,45.92321736749229,0.624577666308889
decentralized_high,16,7,training,1,0.375,0.954434002924965,0.25,0.0,0.31839622641509435,1.01125,0.01325,37.66591640107038,0.5026548869272155
decentralized_high,16,7,training,50,0.3125,0.8960382325345574,0.375,0.125,0.1660749669749011,1.6570000000000005,0.7570000000000003,40.86996591956331,0.556296051956712
decentralized_high,16,7,training,100,0.125,0.5435644431995964,0.75,0.125,0.1499946008561457,2.3247804664244183,1.5247804664244127,40.66273327298006,0.555827159601452
decentralized_high,16,7,training,150,0.25,0.8112781244591328,0.5,0.25,0.1267413829727846,3.009270321997867,2.3092703219978525,39.701808525671375,0.5440170045723902
decentralized_high,16,7,training,200,0.0625,0.3372900666170139,0.875,0.125,0.12679950171102394,3.6627297572986954,3.0627297572986745,39.03945896529786,0.5354519774301866
decentralized_high,16,7,training,250,0.25,0.8112781244591328,0.5,0.375,0.13051008648845386,4.27475037616173,3.7747503761617054,39.11656051345441,0.5363686673422774
decentralized_high,16,7,training,300,0.0625,0.3372900666170139,0.875,0.3125,0.13632535520804212,4.898399037805764,4.498399037805729,38.93807341616386,0.5340558676091751
decentralized_high,16,7,training,350,0.1875,0.6962122601251458,0.625,0.1875,0.13867975325294846,5.526314652395726,5.226314652395681,38.74961812392098,0.5316209931437572
decentralized_high,16,7,training,400,0.0625,0.3372900666170139,0.875,0.25,0.14004433262129146,6.159083847576029,5.959083847575973,38.39360009594525,0.5273741199046361
decentralized_high,16,7,training,450,0.375,0.954434002924965,0.25,0.5625,0.14222986426915796,6.763899174513456,6.663899174513393,38.4585757339438,0.5282137729918569
