scenario,scenario_label,scenario_group,population,replicate,cooperation_rate,collective_action_entropy,collective_order,switch_rate,wealth_gini,mean_welfare,mean_wealth,total_resource,mean_resource_fraction,unique_policy_count,policy_entropy,policy_hamming_mean,policy_cooperate_scarce,policy_cooperate_moderate,policy_cooperate_abundant,network_density,network_components,largest_component_fraction,network_clustering,network_policy_similarity,policy_assortativity
central_high_patchy_low,Central high + patchy low,mixed,16,2,0.0,0.0,1.0,0.0,0.18352521337519143,70.81903804830739,80.82003804830501,27.3576397024614,0.5141481687741305,4,0.5591404279431216,0.2833333333333333,0.1875,0.0,0.4375,0.03333333333333333,12,0.1875,0.0,0.8333333333333335,0.0
central_high_patchy_low,Central high + patchy low,mixed,32,2,0.03221875,0.20485902432414788,0.9355625,0.00203125,0.4193884886446208,40.1767378140163,49.211207431992456,15.77487556256304,0.2626519335656347,3,0.4158520829727553,0.20967741935483872,0.0625,0.0,0.4375,0.04233870967741935,15,0.15625,0.2708333333333333,0.8412698412698412,0.13698630136986303
split_high_low,High patchy + low fragmented split,mixed,8,2,0.0,0.0,1.0,0.0,0.25166957870631573,63.23523493881908,73.23623493881702,30.120250961216545,0.5444839451008572,3,0.4685463540765222,0.2738095238095238,0.125,0.0,0.5,0.0,8,0.125,0.0,nan,nan
split_high_low,High patchy + low fragmented split,mixed,16,2,0.01375,0.07420381465574306,0.9725,0.0275,0.29960191923301543,59.72253294279334,69.7235329427906,25.793617072484057,0.4414611830461862,4,0.5591404279431216,0.2833333333333333,0.1875,0.0,0.4375,0.03333333333333333,12,0.1875,0.0,0.8333333333333334,-0.3333333333333333
split_high_low,High patchy + low fragmented split,mixed,32,2,0.0955,0.4541676861737172,0.809,0.0036875,0.49668118120974974,33.66297710222338,41.425994159028235,14.263422318897671,0.2441589775964847,5,0.5941008315225847,0.2829301075268817,0.15625,0.03125,0.46875,0.04233870967741935,15,0.15625,0.2708333333333333,0.746031746031746,0.3488372093023258
decentralized_high_in_low,Decentralized high islands + low background,mixed,8,2,0.0125,0.05435644431995963,0.975,0.025,0.03396848792389187,92.36565571788303,102.3666557178777,38.93879128767281,0.7320392033430819,4,0.5162649802317995,0.3095238095238096,0.25,0.125,0.125,0.0,8,0.125,0.0,nan,nan
decentralized_high_in_low,Decentralized high islands + low background,mixed,16,2,0.0103125,0.055259813921703996,0.979375,0.020625,0.09446614920712161,83.7968164959967,93.79781649599298,34.40184415312651,0.6352019264978769,5,0.5422048239367273,0.2833333333333333,0.1875,0.0625,0.25,0.03333333333333333,12,0.1875,0.0,0.9166666666666667,-0.14285714285714288
decentralized_high_in_low,Decentralized high islands + low background,mixed,32,2,0.03125,0.20062232431271457,0.9375,6.25e-05,0.2891701529731833,38.602363214293554,48.53096477947673,15.609000514572015,0.278214539177394,3,0.3837045170646269,0.1868279569892473,0.03125,0.0,0.40625,0.04233870967741935,15,0.15625,0.2708333333333333,0.8253968253968254,0.06666666666666676
patchy_high_central_low,Patchy high + central low,mixed,8,3,0.006625,0.02880891548957861,0.98675,0.01325,0.013316124477335812,94.97483979039616,104.97583979039005,42.04553429333079,0.7001174419041831,3,0.5,0.3333333333333333,0.5,0.0,0.75,0.0,8,0.125,0.0,nan,nan
patchy_high_central_low,Patchy high + central low,mixed,16,3,0.017375,0.09193241885904783,0.96525,0.03475,0.10072312937370867,82.85932638101316,92.8603263810099,35.15719079728116,0.5739224444848742,4,0.5497991567825664,0.3416666666666667,0.4375,0.0,0.625,0.025,13,0.1875,0.0,1.0,nan
